#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,9.999832E-01,9.999534E-01,9.998626E-01,9.995827E-01,9.987420E-01,9.963636E-01,9.902136E-01,9.760296E-01,9.473344E-01,8.968718E-01,8.198540E-01,7.173354E-01,5.972926E-01,4.720800E-01,3.541867E-01,2.526510E-01,1.716970E-01,1.114632E-01,6.921873E-02,4.112922E-02,2.332965E-02,1.256495E-02,6.392471E-03,3.038540E-03,1.324280E-03,5.169115E-04,1.699198E-04,4.117178E-05,4.744230E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,9.999751E-01,9.999291E-01,9.997872E-01,9.993517E-01,9.980667E-01,9.945403E-01,9.857933E-01,9.666040E-01,9.298776E-01,8.689127E-01,7.810121E-01,6.701257E-01,5.465003E-01,4.230301E-01,3.110552E-01,2.177013E-01,1.453244E-01,9.277061E-02,5.670033E-02,3.309837E-02,1.842126E-02,9.714584E-03,4.808811E-03,2.215099E-03,9.263165E-04,3.371866E-04,9.929808E-05,1.932251E-05,8.129099E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.999875E-01,9.999661E-01,9.999016E-01,9.997028E-01,9.991001E-01,9.973620E-01,9.927390E-01,9.816900E-01,9.584045E-01,9.156160E-01,8.473404E-01,7.524585E-01,6.368388E-01,5.118149E-01,3.903404E-01,2.828152E-01,1.950674E-01,1.283765E-01,8.075877E-02,4.863445E-02,2.798018E-02,1.531754E-02,7.944532E-03,3.866293E-03,1.737233E-03,7.077204E-04,2.499909E-04,6.923355E-05,1.143594E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,9.999592E-01,9.998804E-01,9.996368E-01,9.988987E-01,9.967837E-01,9.912308E-01,9.782108E-01,9.514346E-01,9.036086E-01,8.295594E-01,7.296793E-01,6.112435E-01,4.862898E-01,3.673755E-01,2.639384E-01,1.807473E-01,1.182140E-01,7.401934E-02,4.432481E-02,2.534127E-02,1.376267E-02,7.057846E-03,3.381612E-03,1.487441E-03,5.863985E-04,1.954240E-04,4.679325E-05,6.051226E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.999897E-01,9.999726E-01,9.999214E-01,9.997639E-01,9.992846E-01,9.978875E-01,9.941090E-01,9.848768E-01,9.649016E-01,9.271109E-01,8.649471E-01,7.759175E-01,6.642907E-01,5.403665E-01,4.171085E-01,3.057348E-01,2.132215E-01,1.418001E-01,9.006035E-02,5.475032E-02,3.182728E-02,1.761531E-02,9.257971E-03,4.579609E-03,2.097933E-03,8.767892E-04,3.240356E-04,9.723336E-05,1.870773E-05,5.104573E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,9.999265E-01,9.997792E-01,9.993265E-01,9.979901E-01,9.943262E-01,9.852641E-01,9.654782E-01,9.278499E-01,8.658389E-01,7.770860E-01,6.658592E-01,5.424776E-01,4.196900E-01,3.086417E-01,2.161838E-01,1.445584E-01,9.245725E-02,5.658834E-02,3.310873E-02,1.844030E-02,9.732046E-03,4.817273E-03,2.205212E-03,9.187660E-04,3.317239E-04,9.535651E-05,1.797033E-05,2.032594E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.999907E-01,9.999754E-01,9.999297E-01,9.997897E-01,9.993629E-01,9.981142E-01,9.947137E-01,9.863237E-01,9.679487E-01,9.326946E-01,8.738039E-01,7.881324E-01,6.790481E-01,5.561723E-01,4.323239E-01,3.190455E-01,2.239779E-01,1.499144E-01,9.577852E-02,5.851981E-02,3.424101E-02,1.905641E-02,1.008896E-02,5.041406E-03,2.328613E-03,9.858721E-04,3.744731E-04,1.159708E-04,2.290943E-05,1.045194E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,9.998555E-01,9.995597E-01,9.986691E-01,9.961475E-01,9.896421E-01,9.747227E-01,9.448055E-01,8.927744E-01,8.143114E-01,7.110433E-01,5.912252E-01,4.670613E-01,3.506133E-01,2.505810E-01,1.708746E-01,1.114122E-01,6.953532E-02,4.147670E-02,2.360765E-02,1.276534E-02,6.496540E-03,3.077897E-03,1.333663E-03,5.109575E-04,1.641911E-04,3.818116E-05,3.325962E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.999907E-01,9.999754E-01,9.999297E-01,9.997895E-01,9.993626E-01,9.981155E-01,9.947253E-01,9.863755E-01,9.681146E-01,9.331083E-01,8.746294E-01,7.895110E-01,6.809902E-01,5.585455E-01,4.348539E-01,3.214781E-01,2.261172E-01,1.516378E-01,9.708961E-02,5.940528E-02,3.484687E-02,1.942797E-02,1.031342E-02,5.174758E-03,2.397717E-03,1.020502E-03,3.917998E-04,1.224517E-04,2.435201E-05,1.580904E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,9.996944E-01,9.990704E-01,9.972616E-01,9.924384E-01,9.809244E-01,9.567869E-01,9.128273E-01,8.434426E-01,7.480924E-01,6.329401E-01,5.091894E-01,3.893098E-01,2.832234E-01,1.965517E-01,1.303768E-01,8.277620E-02,5.026952E-02,2.914110E-02,1.607502E-02,8.386504E-03,4.087336E-03,1.829832E-03,7.357387E-04,2.527788E-04,6.710402E-05,1.099421E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
