#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0, imt='SA(0.05)'"
lon,lat,depth,poe-0.0050000,poe-0.0057376,poe-0.0065840,poe-0.0075552,poe-0.0086698,poe-0.0099487,poe-0.0114163,poe-0.0131004,poe-0.0150330,poe-0.0172506,poe-0.0197953,poe-0.0227155,poe-0.0260664,poe-0.0299117,poe-0.0343242,poe-0.0393876,poe-0.0451980,poe-0.0518655,poe-0.0595165,poe-0.0682963,poe-0.0783711,poe-0.0899323,poe-0.1031988,poe-0.1184225,poe-0.1358919,poe-0.1559383,poe-0.1789419,poe-0.2053390,poe-0.2356300,poe-0.2703896,poe-0.3102768,poe-0.3560480,poe-0.4085713,poe-0.4688427,poe-0.5380052,poe-0.6173704,poe-0.7084434,poe-0.8129511,poe-0.9328756,poe-1.0704911,poe-1.2284072,poe-1.4096188,poe-1.6175622,poe-1.8561809,poe-2.1300000
-1.00005,-0.01933,0.00000,9.999955E-01,9.999893E-01,9.999725E-01,9.999231E-01,9.997754E-01,9.993347E-01,9.980671E-01,9.946579E-01,9.863129E-01,9.681081E-01,9.332088E-01,8.748376E-01,7.897074E-01,6.808772E-01,5.578977E-01,4.335723E-01,3.197297E-01,2.241241E-01,1.496176E-01,9.533428E-02,5.805986E-02,3.381762E-02,1.875958E-02,9.872079E-03,4.896178E-03,2.250344E-03,9.385850E-04,3.394173E-04,9.951637E-05,1.875463E-05,1.316844E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.07060,0.00000,9.999937E-01,9.999845E-01,9.999586E-01,9.998818E-01,9.996511E-01,9.989689E-01,9.970488E-01,9.920551E-01,9.803517E-01,9.560866E-01,9.120788E-01,8.425602E-01,7.467003E-01,6.304641E-01,5.053283E-01,3.841702E-01,2.773128E-01,1.904767E-01,1.247250E-01,7.804177E-02,4.671287E-02,2.668219E-02,1.450917E-02,7.451521E-03,3.582080E-03,1.588282E-03,6.292857E-04,2.084975E-04,5.253359E-05,7.179847E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.10926,0.00000,9.999964E-01,9.999920E-01,9.999797E-01,9.999445E-01,9.998397E-01,9.995260E-01,9.986124E-01,9.961011E-01,9.897666E-01,9.754327E-01,9.468000E-01,8.967725E-01,8.205336E-01,7.188444E-01,5.993201E-01,4.740868E-01,3.557373E-01,2.535708E-01,1.720129E-01,1.112663E-01,6.873545E-02,4.062567E-02,2.289968E-02,1.227216E-02,6.218334E-03,2.941241E-03,1.269242E-03,4.846401E-04,1.566066E-04,3.707466E-05,4.700602E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,0.16053,0.00000,9.999903E-01,9.999751E-01,9.999312E-01,9.997994E-01,9.994046E-01,9.982589E-01,9.951417E-01,9.874103E-01,9.703111E-01,9.370925E-01,8.808433E-01,7.978862E-01,6.907571E-01,5.685347E-01,4.439390E-01,3.289522E-01,2.317063E-01,1.555045E-01,9.962021E-02,6.105184E-02,3.576419E-02,1.997028E-02,1.056917E-02,5.263492E-03,2.433471E-03,1.022602E-03,3.765745E-04,1.120649E-04,2.163172E-05,8.683757E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00005,-0.19920,0.00000,9.999970E-01,9.999933E-01,9.999834E-01,9.999554E-01,9.998723E-01,9.996237E-01,9.988950E-01,9.968673E-01,9.916593E-01,9.796013E-01,9.548641E-01,9.103665E-01,8.404790E-01,7.444502E-01,6.283463E-01,5.034824E-01,3.826811E-01,2.761990E-01,1.896375E-01,1.240985E-01,7.749759E-02,4.629891E-02,2.640054E-02,1.432147E-02,7.372257E-03,3.552957E-03,1.568647E-03,6.202283E-04,2.119855E-04,5.590073E-05,9.131488E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.25046,0.00000,9.999836E-01,9.999561E-01,9.998744E-01,9.996284E-01,9.989010E-01,9.968567E-01,9.915596E-01,9.792175E-01,9.538287E-01,9.082121E-01,8.368762E-01,7.394966E-01,6.225023E-01,4.975083E-01,3.772417E-01,2.717304E-01,1.863434E-01,1.219566E-01,7.629347E-02,4.566192E-02,2.608136E-02,1.415669E-02,7.259524E-03,3.471799E-03,1.524023E-03,5.983585E-04,1.968865E-04,4.839317E-05,6.199731E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.28913,0.00000,9.999972E-01,9.999939E-01,9.999850E-01,9.999600E-01,9.998861E-01,9.996650E-01,9.990157E-01,9.972001E-01,9.925011E-01,9.815096E-01,9.586778E-01,9.170243E-01,8.505940E-01,7.578888E-01,6.440804E-01,5.199098E-01,3.981591E-01,2.894835E-01,2.002264E-01,1.319861E-01,8.297139E-02,4.989797E-02,2.865278E-02,1.562571E-02,8.129193E-03,3.964126E-03,1.765375E-03,7.100609E-04,2.508196E-04,7.060289E-05,1.228166E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.34040,0.00000,9.999697E-01,9.999151E-01,9.997510E-01,9.992606E-01,9.978506E-01,9.940736E-01,9.849011E-01,9.651241E-01,9.277729E-01,8.663505E-01,7.783286E-01,6.676558E-01,5.443816E-01,4.212180E-01,3.094690E-01,2.163388E-01,1.442402E-01,9.192415E-02,5.606406E-02,3.264424E-02,1.811413E-02,9.516708E-03,4.681749E-03,2.130269E-03,8.757444E-04,3.098483E-04,8.641658E-05,1.616015E-05,3.792453E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,-0.37906,0.00000,9.999973E-01,9.999939E-01,9.999851E-01,9.999600E-01,9.998860E-01,9.996648E-01,9.990157E-01,9.972033E-01,9.925209E-01,9.815863E-01,9.589025E-01,9.175485E-01,8.515878E-01,7.594810E-01,6.462560E-01,5.224987E-01,4.008836E-01,2.920683E-01,2.024732E-01,1.337875E-01,8.432966E-02,5.083315E-02,2.926353E-02,1.599683E-02,8.360723E-03,4.090252E-03,1.828328E-03,7.437989E-04,2.663633E-04,7.584286E-05,1.336580E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-1.00004,0.43033,0.00000,9.999388E-01,9.998226E-01,9.994733E-01,9.984535E-01,9.956527E-01,9.886248E-01,9.728791E-01,9.418757E-01,8.886636E-01,8.091288E-01,7.050667E-01,5.847952E-01,4.605353E-01,3.443713E-01,2.448593E-01,1.659943E-01,1.075307E-01,6.666368E-02,3.951006E-02,2.231847E-02,1.196727E-02,6.045708E-03,2.829951E-03,1.204970E-03,4.518234E-04,1.384748E-04,2.966883E-05,2.481855E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
