#,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.02,SA(0.025)-0.1,SA(0.025)-0.02,SA(0.05)-0.1,SA(0.05)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(2.0)-0.1,SA(2.0)-0.02
-1.00005,-0.01933,5.351688E-02,8.110122E-02,5.671079E-02,8.593505E-02,6.730718E-02,1.016674E-01,1.032764E-01,1.543697E-01,1.386267E-01,2.090933E-01,9.055064E-02,1.412200E-01,4.897275E-02,7.937205E-02,2.371688E-02,4.016635E-02
-1.00005,0.07060,5.068591E-02,7.687242E-02,5.368252E-02,8.137712E-02,6.350348E-02,9.598248E-02,9.717222E-02,1.453594E-01,1.319166E-01,1.989913E-01,8.728652E-02,1.364341E-01,4.752413E-02,7.704610E-02,2.310965E-02,3.914965E-02
-1.00005,-0.10926,5.585791E-02,8.461732E-02,5.933309E-02,8.986332E-02,7.041124E-02,1.063274E-01,1.081373E-01,1.617703E-01,1.440375E-01,2.172619E-01,9.305758E-02,1.451769E-01,5.015865E-02,8.117560E-02,2.420858E-02,4.097004E-02
-1.00005,0.16053,4.747634E-02,7.203899E-02,5.028198E-02,7.628959E-02,5.944659E-02,8.990069E-02,9.073935E-02,1.358218E-01,1.243599E-01,1.876126E-01,8.357274E-02,1.305886E-01,4.587987E-02,7.429402E-02,2.238743E-02,3.789905E-02
-1.00005,-0.19920,5.765746E-02,8.731513E-02,6.119202E-02,9.264517E-02,7.274454E-02,1.098508E-01,1.119379E-01,1.675071E-01,1.481477E-01,2.234840E-01,9.489722E-02,1.480753E-01,5.101855E-02,8.247789E-02,2.456147E-02,4.154468E-02
-1.00004,0.25046,4.411975E-02,6.700487E-02,4.666562E-02,7.084391E-02,5.497510E-02,8.319957E-02,8.374428E-02,1.254103E-01,1.164200E-01,1.756524E-01,7.964003E-02,1.243444E-01,4.400980E-02,7.132740E-02,2.156953E-02,3.654587E-02
-1.00004,-0.28913,5.873331E-02,8.891749E-02,6.229020E-02,9.431180E-02,7.415228E-02,1.119717E-01,1.142655E-01,1.710625E-01,1.505634E-01,2.271333E-01,9.592483E-02,1.496848E-01,5.148596E-02,8.318225E-02,2.475111E-02,4.185109E-02
-1.00004,0.34040,4.064987E-02,6.176697E-02,4.296004E-02,6.529126E-02,5.054853E-02,7.657858E-02,7.685835E-02,1.151390E-01,1.080783E-01,1.631036E-01,7.538100E-02,1.179685E-01,4.202811E-02,6.827774E-02,2.072348E-02,3.514184E-02
-1.00004,-0.37906,5.897648E-02,8.931973E-02,6.254127E-02,9.474186E-02,7.448818E-02,1.125473E-01,1.148419E-01,1.721167E-01,1.510576E-01,2.279841E-01,9.606382E-02,1.499290E-01,5.153513E-02,8.326615E-02,2.476747E-02,4.187864E-02
-1.00004,0.43033,3.719579E-02,5.658371E-02,3.935926E-02,5.985799E-02,4.615236E-02,6.997030E-02,7.000301E-02,1.050009E-01,9.984086E-02,1.507112E-01,7.109535E-02,1.111408E-01,4.006083E-02,6.496422E-02,1.987614E-02,3.367773E-02
-1.00004,-0.46899,5.840106E-02,8.861009E-02,6.195783E-02,9.400434E-02,7.376329E-02,1.116610E-01,1.136734E-01,1.707231E-01,1.496665E-01,2.262185E-01,9.535245E-02,1.489152E-01,5.118600E-02,8.277694E-02,2.461987E-02,4.165151E-02
-1.00004,0.52026,3.389293E-02,5.162193E-02,3.575735E-02,5.444709E-02,4.186347E-02,6.355574E-02,6.337513E-02,9.515431E-02,9.179364E-02,1.386067E-01,6.685908E-02,1.046062E-01,3.803343E-02,6.174385E-02,1.897922E-02,3.217926E-02
-1.00004,-0.55893,5.706728E-02,8.685060E-02,6.060116E-02,9.218677E-02,7.205214E-02,1.093936E-01,1.109023E-01,1.670306E-01,1.465352E-01,2.220006E-01,9.385855E-02,1.467463E-01,5.046988E-02,8.176064E-02,2.432090E-02,4.119029E-02
-1.00004,0.61019,3.068881E-02,4.677987E-02,3.236727E-02,4.935063E-02,3.783395E-02,5.752637E-02,5.716439E-02,8.591828E-02,8.394971E-02,1.268288E-01,6.263474E-02,9.801207E-02,3.604714E-02,5.859857E-02,1.811302E-02,3.073851E-02
-1.00004,-0.64886,5.501926E-02,8.400296E-02,5.841063E-02,8.918984E-02,6.942007E-02,1.057089E-01,1.066495E-01,1.610678E-01,1.417595E-01,2.152471E-01,9.160704E-02,1.433625E-01,4.939715E-02,8.019543E-02,2.387371E-02,4.048348E-02
-1.00004,0.70012,2.767299E-02,4.224830E-02,2.920573E-02,4.459183E-02,3.408856E-02,5.190392E-02,5.139850E-02,7.733619E-02,7.663701E-02,1.158566E-01,5.863864E-02,9.177510E-02,3.415868E-02,5.544554E-02,1.728638E-02,2.932226E-02
-1.00004,-0.73879,5.232766E-02,8.005536E-02,5.540850E-02,8.480739E-02,6.574499E-02,1.004087E-01,1.009068E-01,1.526930E-01,1.354567E-01,2.059818E-01,8.852331E-02,1.387499E-01,4.798499E-02,7.803783E-02,2.328449E-02,3.952690E-02
-1.00004,-0.82872,4.898752E-02,7.511431E-02,5.197045E-02,7.961365E-02,6.145361E-02,9.393404E-02,9.404851E-02,1.424729E-01,1.275607E-01,1.941383E-01,8.472167E-02,1.329927E-01,4.631861E-02,7.524385E-02,2.257268E-02,3.828163E-02
-1.00003,-0.91865,4.545565E-02,6.968802E-02,4.805646E-02,7.372346E-02,5.675766E-02,8.685301E-02,8.669671E-02,1.313767E-01,1.192714E-01,1.814337E-01,8.062643E-02,1.264238E-01,4.443469E-02,7.216409E-02,2.173463E-02,3.688676E-02
-1.00003,-1.00859,4.169440E-02,6.396958E-02,4.412728E-02,6.773924E-02,5.202825E-02,7.955810E-02,7.923608E-02,1.199914E-01,1.103506E-01,1.678276E-01,7.626098E-02,1.196738E-01,4.238309E-02,6.896680E-02,2.086482E-02,3.542822E-02
-1.00003,-1.09852,3.802987E-02,5.836011E-02,4.021413E-02,6.166380E-02,4.722891E-02,7.223918E-02,7.177294E-02,1.086532E-01,1.016990E-01,1.545377E-01,7.178473E-02,1.125568E-01,4.035102E-02,6.555901E-02,1.999397E-02,3.393545E-02
-1.00003,-1.18845,3.451518E-02,5.290230E-02,3.640942E-02,5.583594E-02,4.268284E-02,6.528889E-02,6.471484E-02,9.791344E-02,9.311769E-02,1.413411E-01,6.744290E-02,1.056664E-01,3.828920E-02,6.220748E-02,1.908641E-02,3.238533E-02
-1.00002,-1.27838,3.112140E-02,4.770856E-02,3.284859E-02,5.037566E-02,3.843863E-02,5.879112E-02,5.814174E-02,8.792048E-02,8.495812E-02,1.288913E-01,6.307996E-02,9.886406E-02,3.625515E-02,5.898802E-02,1.820376E-02,3.090399E-02
-1.00002,-1.36832,2.798328E-02,4.290490E-02,2.955041E-02,4.530942E-02,3.449953E-02,5.270884E-02,5.206947E-02,7.869938E-02,7.738775E-02,1.173296E-01,5.902316E-02,9.239598E-02,3.435368E-02,5.574955E-02,1.737113E-02,2.947058E-02
-1.00002,-1.45825,2.510368E-02,3.849555E-02,2.647858E-02,4.057140E-02,3.082755E-02,4.710558E-02,4.643236E-02,7.017037E-02,7.021026E-02,1.063745E-01,5.497858E-02,8.618293E-02,3.238361E-02,5.273852E-02,1.649658E-02,2.803546E-02
-1.00001,-1.54818,2.246868E-02,3.446155E-02,2.364870E-02,3.626449E-02,2.748626E-02,4.202933E-02,4.131955E-02,6.246318E-02,6.353094E-02,9.629267E-02,5.116833E-02,8.028643E-02,3.047257E-02,4.969326E-02,1.560383E-02,2.662306E-02
-0.91011,-0.01933,6.276795E-02,9.514289E-02,6.665803E-02,1.010245E-01,7.937494E-02,1.198908E-01,1.220212E-01,1.826461E-01,1.602507E-01,2.421087E-01,1.013100E-01,1.584540E-01,5.400125E-02,8.759495E-02,2.591689E-02,4.390102E-02
